,Goods Location,Product Name,Discount Price,Product Price,Product Discount,Reviews
45,,"Tecno Spark 30C 6.6"" 4GB RAM/128GB ROM Android 14 - Black","₦ 156,190","₦ 200,000",,4.7 out of 5(21)
46,,"Nokia 105_African Edition, 1.77"" 4MB/4MB, 800 MAh, Dual Sim - Blue","₦ 14,400","₦ 20,000",,3.9 out of 5(312)
47,,"Tecno Pop 9 6.67"" 4GB RAM / 128GB ROM Android 14 - Black","₦ 142,900","₦ 200,000",,4.2 out of 5(22)
48,,"FreeYond F9,2GB+64GB,6.52"" Smartphone,4G,5000mAh,Black","₦ 96,600","₦ 139,000",,4 out of 5(298)
49,,XIAOMI Redmi 14C 6.88'' 8GB RAM/256GB ROM Android 12-Sage Green,"₦ 176,320","₦ 400,000",,4.1 out of 5(21)
50,,"Tecno Spark 30 Pro KL7 6.78"" 8GB RAM/128GB ROM Android 14 - Obsidian Edge","₦ 249,075","₦ 500,000",,4.1 out of 5(19)
51,,Realme Note 50 Dual SIM 3GB RAM 64GB 4G,"₦ 116,900","₦ 139,500",,4.2 out of 5(22)
52,,XIAOMI Redmi 14C 6.88'' 8GB RAM/256GB ROM Android 12-Sage Green,"₦ 176,320","₦ 450,000",,3.3 out of 5(3)
53,,"itel S23+ 6.78"" FHD 8GB RAM/256 ROM Android 12 - Blue","₦ 198,000","₦ 280,000",,4.5 out of 5(29)
54,,Realme Note 50 Dual SIM  4GB RAM 128GB 4G,"₦ 134,900","₦ 159,900",,4.5 out of 5(4)
55,,"Samsung Galaxy A06 6.7"" 4GB RAM/128GB ROM Android 14 - Light Blue","₦ 155,800","₦ 300,000",,5 out of 5(3)
56,,"Tecno Pop 9 6.67"" 3GB RAM / 128GB ROM Android 14 -White","₦ 133,300","₦ 200,000",,4.5 out of 5(10)
57,,"ZTE Nubia V60 Design 6GB / 256GB 6.6'' FHD+, 50MP Camera - Blue","₦ 174,230","₦ 300,000",,4.8 out of 5(23)
58,,Realme Note 50 Dual SIM  3GB RAM 64GB 4G,"₦ 116,900","₦ 139,500",,4.5 out of 5(11)
59,,"Samsung Galaxy A24 6.5"" 6GB RAM/128GB ROM Android 13  - Black + Free Backpack","₦ 316,999","₦ 350,000",,3.7 out of 5(3)
60,,"Tecno CAMON 30 6.78"" 8GB RAM/256GB ROM Android 14 - Dark","₦ 331,855","₦ 390,000",,4.6 out of 5(7)
61,,"ZTE Blade A55, 4GB RAM + 128GB ROM, 6.6” HD+, 5000mAh - Black","₦ 121,445","₦ 200,000",,3.9 out of 5(16)
62,,"Samsung Galaxy A06 6.7"" 4GB RAM/64GB ROM Android 14 - Black","₦ 144,270","₦ 200,000",,
63,,Realme Note 50 Dual SIM  4GB RAM 128GB 4G,"₦ 134,900","₦ 159,900",,4 out of 5(19)
64,,"Samsung Galaxy A06 6.7"" 4GB RAM / 64GB ROM Android 14 - Black","₦ 144,270","₦ 250,000",,4.5 out of 5(2)
65,,"Samsung Galaxy A05 6.7"" 4GB RAM/64GB ROM Android 13 - Light Green","₦ 122,000","₦ 135,000",,4.1 out of 5(49)
66,,XIAOMI Redmi 14C 6.88'' 6GB RAM/128GB ROM Android 14 - Sage Green,"₦ 157,320","₦ 350,000",,
67,,"AGM H6 Leather Ultra-Thin Rugged Smartphone 6.6"" 16GB RAM/256GB Android 13 NFC - Black","₦ 272,669","₦ 304,386",,4.3 out of 5(44)
68,,"Poco C61 6.71"" 4GB RAM / 128GB ROM Android 14 - Black","₦ 126,600","₦ 700,000",,1 out of 5(1)
69,,Nokia T20 10.4” 4GB RAM/64GB ROM Android 11- Ocean Blue,"₦ 169,990","₦ 200,000",,4.4 out of 5(21)
70,,"Poco C61 6.71"" 3GB RAM / 64GB ROM Android 14 - Black","₦ 110,210","₦ 700,000",,1 out of 5(1)
